date,price,area,productivity,quantity
2011-12-16,11000,235.5,75.1,1768.8
2011-12-19,11000,235.5,75.1,1768.8
2011-12-20,11500,235.5,75.1,1768.8
2011-12-21,11000,235.5,75.1,1768.8
2011-12-22,11000,235.5,75.1,1768.8
2011-12-23,11000,235.5,75.1,1768.8
2011-12-26,11000,235.5,75.1,1768.8
2011-12-27,11000,235.5,75.1,1768.8
2011-12-28,11000,235.5,75.1,1768.8
2011-12-29,11000,235.5,75.1,1768.8
2011-12-30,11000,235.5,75.1,1768.8
2012-01-03,11000,235.9,74.0,1746.1
2012-01-04,11000,235.9,74.0,1746.1
2012-01-05,11000,235.9,74.0,1746.1
2012-01-16,11000,235.9,74.0,1746.1
2012-01-17,11000,235.9,74.0,1746.1
2012-01-31,11000,235.9,74.0,1746.1
2012-02-01,11000,235.9,74.0,1746.1
2012-02-02,11000,235.9,74.0,1746.1
2012-02-04,11000,235.9,74.0,1746.1
2012-02-06,11000,235.9,74.0,1746.1
2012-02-07,11000,235.9,74.0,1746.1
2012-02-08,11000,235.9,74.0,1746.1
2012-02-09,11000,235.9,74.0,1746.1
2012-02-10,11000,235.9,74.0,1746.1
2012-02-13,11000,235.9,74.0,1746.1
2012-02-14,11000,235.9,74.0,1746.1
2012-02-15,11000,235.9,74.0,1746.1
2012-02-16,11000,235.9,74.0,1746.1
2012-02-17,11000,235.9,74.0,1746.1
2012-02-20,11000,235.9,74.0,1746.1
2012-02-21,11000,235.9,74.0,1746.1
2012-02-22,11500,235.9,74.0,1746.1
2012-02-23,11500,235.9,74.0,1746.1
2012-02-24,11500,235.9,74.0,1746.1
2012-02-27,11500,235.9,74.0,1746.1
2012-02-28,11500,235.9,74.0,1746.1
2012-03-02,11500,235.9,74.0,1746.1
2012-03-05,11500,235.9,74.0,1746.1
2012-03-07,11500,235.9,74.0,1746.1
2012-03-08,11500,235.9,74.0,1746.1
2012-03-09,11000,235.9,74.0,1746.1
2012-03-12,11000,235.9,74.0,1746.1
2012-03-13,11000,235.9,74.0,1746.1
2012-03-14,11000,235.9,74.0,1746.1
2012-03-15,11000,235.9,74.0,1746.1
2012-03-16,11000,235.9,74.0,1746.1
2012-03-19,11000,235.9,74.0,1746.1
2012-03-20,11000,235.9,74.0,1746.1
2012-03-21,11000,235.9,74.0,1746.1
2012-03-22,11000,235.9,74.0,1746.1
2012-03-23,11000,235.9,74.0,1746.1
2012-03-28,11000,235.9,74.0,1746.1
2012-03-30,11000,235.9,74.0,1746.1
2012-04-04,11000,235.9,74.0,1746.1
2012-04-05,11000,235.9,74.0,1746.1
2012-04-06,11000,235.9,74.0,1746.1
2012-04-09,11000,235.9,74.0,1746.1
2012-04-10,11000,235.9,74.0,1746.1
